r,w
5.460.821.274,8.942.046.742
5.380.491.317,8.739.099
5.306.802.825,8.537.247.282
5.239.479.469,8.336.912.358
5.178.258.448,8.138.472.145
5.122.890.641,7.942.264.099
5.073.140.608,7.748.587.646
5.028.786.453,7.557.706.637
4.989.619.583,7.369.851.769
4.955.444.387,7.185.222.964
4.926.077.854,700.399.168
4.901.349.148,6.826.303.137
4.881.099.147,6.652.278.456
4.865.179.968,6.482.016.686
4.853.454.479,6.315.596.741
4.845.795.807,615.307.921
4.842.086.854,5.994.508.077
4.842.219.815,5.839.912.317
4.846.095.714,5.689.307.397
4.853.623.945,5.542.696.668
4.864.721.837,5.400.072.661
4.879.314.235,5.261.418.285
4.897.333.096,5.126.707.936
4.918.717.107,4.995.908.521
4.943.411.317,4.868.980.399
4.971.366.792,4.745.878.243
5.002.540.288,4.626.551.838
5.036.893.937,4.510.946.806
5.074.394.952,4.399.005.269
511.501.535,4.290.666.456
5.158.731.687,4.185.867.257
5.205.524.807,4.084.542.725
5.255.379.609,3.986.626.531
5.308.284.818,3.892.051.383
5.364.232.776,38.007.494
5.423.219.237,3.712.652.453
5.485.243.173,3.627.692.471
5.550.306.592,3.545.801.725
5.618.414.356,3.466.913.072
5.689.574.016,3.390.960.189
5.763.795.641,3.317.877.774
5.841.091.663,3.247.601.733
5.921.476.716,3.180.069.343
6.004.967.485,3.115.219.409
6.091.582.553,3.052.992.395
6.181.342.253,2.993.330.551
6.274.268.518,2.936.178.027
6.370.384.727,2.881.480.972
6.469.715.557,2.829.187.635
6.572.286.827,277.924.845
6.678.125.342,2.731.616.117
6.787.258.728,2.686.245.686
6.899.715.268,2.643.094.624
7.015.523.724,2.602.122.894
7.134.713.161,2.563.293.024
7.257.312.754,2.526.570.175
7.383.351.587,2.491.922.216
7.512.858.445,2.459.319.795
7.645.861.591,2.428.736.412
7.782.388.526,2.400.148.504
7.922.465.741,237.353.552
8.066.118.444,2.348.880.013
8.213.370.276,2.326.167.734
8.364.242.999,2.305.387.732
8.518.756.173,2.286.532.461
8.676.926.796,2.269.597.901
8.838.768.925,225.458.368
9.004.293.272,2.241.493.217
9.173.506.759,2.230.333.868
9.346.412.048,2.221.117.088
9.523.007.032,2.213.858.611
9.703.284.287,2.208.578.636
9.887.230.484,2.205.302.037
1.007.482.575,2.204.058.582
1.026.604.299,2.204.883.184
1.046.084.715,2.207.816.153
1.065.919.443,2.212.903.482
